Module,Gene,Probes,Module_gene,Function,Cluter,Cluster_location,position
M13.6,CUL5,2176955,M13.6_CUL5,Gene transcription,A1,17,A1.17
M13.6,CXORF26,1768176,M13.6_CXORF26,Gene transcription,A1,17,A1.17
M13.6,CYP4V2,2054607,M13.6_CYP4V2,Gene transcription,A1,17,A1.17
M13.6,DC2,2056167,M13.6_DC2,Gene transcription,A1,17,A1.17
M13.6,DCK,1651433,M13.6_DCK,Gene transcription,A1,17,A1.17
M13.6,DPH5,1770048,M13.6_DPH5,Gene transcription,A1,17,A1.17
M13.6,EBAG9,1791896,M13.6_EBAG9,Gene transcription,A1,17,A1.17
M13.6,EP400,1673023,M13.6_EP400,Gene transcription,A1,17,A1.17
M13.6,EXOSC10,2402168,M13.6_EXOSC10,Gene transcription,A1,17,A1.17
M13.6,EXOSC6,1670218,M13.6_EXOSC6,Gene transcription,A1,17,A1.17
M13.6,FAM133B,1777745,M13.6_FAM133B,Gene transcription,A1,17,A1.17
M13.6,FAM43A,1706015,M13.6_FAM43A,Gene transcription,A1,17,A1.17
M13.6,FARS2,1793732,M13.6_FARS2,Gene transcription,A1,17,A1.17
M13.6,FLJ11171,1814573,M13.6_FLJ11171,Gene transcription,A1,17,A1.17
M13.6,FLJ20718,1763663,M13.6_FLJ20718,Gene transcription,A1,17,A1.17
M13.6,FOXK1,2082244,M13.6_FOXK1,Gene transcription,A1,17,A1.17
M13.6,FUBP3,2353033,M13.6_FUBP3,Gene transcription,A1,17,A1.17
M13.6,FYN,2380801,M13.6_FYN,Gene transcription,A1,17,A1.17
M13.6,G3BP1,2344455,M13.6_G3BP1,Gene transcription,A1,17,A1.17
M13.6,GEMIN4,1770206,M13.6_GEMIN4,Gene transcription,A1,17,A1.17
M13.6,GLS,2188722,M13.6_GLS,Gene transcription,A1,17,A1.17
M13.6,GRPEL2,1721138,M13.6_GRPEL2,Gene transcription,A1,17,A1.17
M13.6,IAH1,2217329,M13.6_IAH1,Gene transcription,A1,17,A1.17
M13.6,IARS2,1671207,M13.6_IARS2,Gene transcription,A1,17,A1.17
M13.6,IBTK,1675669,M13.6_IBTK,Gene transcription,A1,17,A1.17
M13.6,KCTD6,2146372,M13.6_KCTD6,Gene transcription,A1,17,A1.17
M13.6,KIAA0355,1659845,M13.6_KIAA0355,Gene transcription,A1,17,A1.17
M13.6,KIAA0372,1795911,M13.6_KIAA0372,Gene transcription,A1,17,A1.17
M13.6,KIAA0391,1701512,M13.6_KIAA0391,Gene transcription,A1,17,A1.17
M13.6,KIAA1826,1801124,M13.6_KIAA1826,Gene transcription,A1,17,A1.17
M13.6,KTN1,2339202,M13.6_KTN1,Gene transcription,A1,17,A1.17
M13.6,LAGE3,1708151,M13.6_LAGE3,Gene transcription,A1,17,A1.17
M13.6,LOC203547,1682694,M13.6_LOC203547,Gene transcription,A1,17,A1.17
M13.6,LOC402644,1686811,M13.6_LOC402644,Gene transcription,A1,17,A1.17
M13.6,LOC644096,2070355,M13.6_LOC644096,Gene transcription,A1,17,A1.17
M13.6,LRBA,2153373,M13.6_LRBA,Gene transcription,A1,17,A1.17
M13.6,LYRM2,1703132,M13.6_LYRM2,Gene transcription,A1,17,A1.17
M13.6,MAGED1,1775522,M13.6_MAGED1,Gene transcription,A1,17,A1.17
M13.6,MCCC1,1760174,M13.6_MCCC1,Gene transcription,A1,17,A1.17
M13.6,METAP1,1785795,M13.6_METAP1,Gene transcription,A1,17,A1.17
M13.6,METTL3,1655635,M13.6_METTL3,Gene transcription,A1,17,A1.17
M13.6,MGC12966,1717219,M13.6_MGC12966,Gene transcription,A1,17,A1.17
M13.6,MGC3207,2410965,M13.6_MGC3207,Gene transcription,A1,17,A1.17
M13.6,MOAP1,1804988,M13.6_MOAP1,Gene transcription,A1,17,A1.17
M13.6,MRPL14,2072603,M13.6_MRPL14,Gene transcription,A1,17,A1.17
M13.6,MRPL50,1664833,M13.6_MRPL50,Gene transcription,A1,17,A1.17
M13.6,MRPL54,1658486,M13.6_MRPL54,Gene transcription,A1,17,A1.17
M13.6,MRPS27,2138435,M13.6_MRPS27,Gene transcription,A1,17,A1.17
M13.6,MRPS35,2189993,M13.6_MRPS35,Gene transcription,A1,17,A1.17
M13.6,MTCP1,1814230,M13.6_MTCP1,Gene transcription,A1,17,A1.17
M13.6,MTERFD1,1782504,M13.6_MTERFD1,Gene transcription,A1,17,A1.17
M13.6,MTO1,2380740,M13.6_MTO1,Gene transcription,A1,17,A1.17
M13.6,NCBP2,1720442,M13.6_NCBP2,Gene transcription,A1,17,A1.17
M13.6,NFX1,1804610,M13.6_NFX1,Gene transcription,A1,17,A1.17
M13.6,NGDN,1690049,M13.6_NGDN,Gene transcription,A1,17,A1.17
M13.6,NHP2L1,1709809,M13.6_NHP2L1,Gene transcription,A1,17,A1.17
M13.6,NOP5/NOP58,1748476,M13.6_NOP5/NOP58,Gene transcription,A1,17,A1.17
M13.6,NPIP,1676986,M13.6_NPIP,Gene transcription,A1,17,A1.17
M13.6,NUDT21,1798886,M13.6_NUDT21,Gene transcription,A1,17,A1.17
M13.6,NUP54,2061405,M13.6_NUP54,Gene transcription,A1,17,A1.17
M13.6,NUPL2,2115154,M13.6_NUPL2,Gene transcription,A1,17,A1.17
M13.6,P117,1765684,M13.6_P117,Gene transcription,A1,17,A1.17
M13.6,PDCD2,1758915,M13.6_PDCD2,Gene transcription,A1,17,A1.17
M13.6,PPP1R2,1683044,M13.6_PPP1R2,Gene transcription,A1,17,A1.17
M13.6,PRKRA,1758474,M13.6_PRKRA,Gene transcription,A1,17,A1.17
M13.6,PRMT1,1692473,M13.6_PRMT1,Gene transcription,A1,17,A1.17
M13.6,PRMT3,1662964,M13.6_PRMT3,Gene transcription,A1,17,A1.17
M13.6,PSIP1,1788701,M13.6_PSIP1,Gene transcription,A1,17,A1.17
M13.6,PURA,2127328,M13.6_PURA,Gene transcription,A1,17,A1.17
M13.6,RABGGTB,2163796,M13.6_RABGGTB,Gene transcription,A1,17,A1.17
M13.6,RBMX,2124951,M13.6_RBMX,Gene transcription,A1,17,A1.17
M13.6,RDH14,2222984,M13.6_RDH14,Gene transcription,A1,17,A1.17
M13.6,RNMT,1769637,M13.6_RNMT,Gene transcription,A1,17,A1.17
M13.6,RPUSD2,1730077,M13.6_RPUSD2,Gene transcription,A1,17,A1.17
M13.6,RYK,1769671,M13.6_RYK,Gene transcription,A1,17,A1.17
M13.6,SDAD1,1735360,M13.6_SDAD1,Gene transcription,A1,17,A1.17
M13.6,SERBP1,1773968,M13.6_SERBP1,Gene transcription,A1,17,A1.17
M13.6,SFRS7,1778836,M13.6_SFRS7,Gene transcription,A1,17,A1.17
M13.6,SIVA,1787248,M13.6_SIVA,Gene transcription,A1,17,A1.17
M13.6,SKIV2L2,1651513,M13.6_SKIV2L2,Gene transcription,A1,17,A1.17
M13.6,SMAD5,1674551,M13.6_SMAD5,Gene transcription,A1,17,A1.17
M13.6,SNUPN,1733932,M13.6_SNUPN,Gene transcription,A1,17,A1.17
M13.6,SNURF,1660000,M13.6_SNURF,Gene transcription,A1,17,A1.17
M13.6,SNX4,1738736,M13.6_SNX4,Gene transcription,A1,17,A1.17
M13.6,SP4,2145997,M13.6_SP4,Gene transcription,A1,17,A1.17
M13.6,SUCLA2,2150019,M13.6_SUCLA2,Gene transcription,A1,17,A1.17
M13.6,SUCLG2,1652379,M13.6_SUCLG2,Gene transcription,A1,17,A1.17
M13.6,TCEAL8,1656399,M13.6_TCEAL8,Gene transcription,A1,17,A1.17
M13.6,THUMPD1,2108339,M13.6_THUMPD1,Gene transcription,A1,17,A1.17
M13.6,TMED10,1736585,M13.6_TMED10,Gene transcription,A1,17,A1.17
M13.6,TMEM160,1704024,M13.6_TMEM160,Gene transcription,A1,17,A1.17
M13.6,TMEM203,2073012,M13.6_TMEM203,Gene transcription,A1,17,A1.17
M13.6,TMEM209,1748926,M13.6_TMEM209,Gene transcription,A1,17,A1.17
M13.6,TMEM42,1760245,M13.6_TMEM42,Gene transcription,A1,17,A1.17
M13.6,TMEM50B,2047599,M13.6_TMEM50B,Gene transcription,A1,17,A1.17
M13.6,UBE3A,1764549,M13.6_UBE3A,Gene transcription,A1,17,A1.17
M13.6,UFM1,1757646,M13.6_UFM1,Gene transcription,A1,17,A1.17
M13.6,WDR75,1801869,M13.6_WDR75,Gene transcription,A1,17,A1.17
M13.6,ZFAND1,1730907,M13.6_ZFAND1,Gene transcription,A1,17,A1.17
M13.6,ZNF621,1785926,M13.6_ZNF621,Gene transcription,A1,17,A1.17
M13.6,ZNF627,2197519,M13.6_ZNF627,Gene transcription,A1,17,A1.17
M13.6,ZNF689,1759008,M13.6_ZNF689,Gene transcription,A1,17,A1.17
M13.6,ZNHIT3,1750044,M13.6_ZNHIT3,Gene transcription,A1,17,A1.17
M13.7,ABHD3,1801767,M13.7_ABHD3,TBD,A33,12,A33.12
M13.7,ACSL3,2360705,M13.7_ACSL3,TBD,A33,12,A33.12
M13.7,AHCTF1,1809139,M13.7_AHCTF1,TBD,A33,12,A33.12
M13.7,AKAP13,1709101,M13.7_AKAP13,TBD,A33,12,A33.12
M13.7,ANXA11,2380494,M13.7_ANXA11,TBD,A33,12,A33.12
M13.7,AP3S1,2311761,M13.7_AP3S1,TBD,A33,12,A33.12
M13.7,ARFGAP3,1731287,M13.7_ARFGAP3,TBD,A33,12,A33.12
M13.7,ARFIP1,2403906,M13.7_ARFIP1,TBD,A33,12,A33.12
M13.7,ARHGAP19,1688953,M13.7_ARHGAP19,TBD,A33,12,A33.12
M13.7,ARNTL,2405305,M13.7_ARNTL,TBD,A33,12,A33.12
M13.7,ATP2B4,2367753,M13.7_ATP2B4,TBD,A33,12,A33.12
M13.7,C14ORF100,1700276,M13.7_C14ORF100,TBD,A33,12,A33.12
M13.7,C14ORF138,2394193,M13.7_C14ORF138,TBD,A33,12,A33.12
M13.7,C1ORF119,1795893,M13.7_C1ORF119,TBD,A33,12,A33.12
M13.7,CAMK1D,1751561,M13.7_CAMK1D,TBD,A33,12,A33.12
M13.7,CAMK2G,1809695,M13.7_CAMK2G,TBD,A33,12,A33.12
M13.7,CBL,1716080,M13.7_CBL,TBD,A33,12,A33.12
M13.7,CCDC49,1720233,M13.7_CCDC49,TBD,A33,12,A33.12
M13.7,CCNG2,2228732,M13.7_CCNG2,TBD,A33,12,A33.12
M13.7,CDC123,1678605,M13.7_CDC123,TBD,A33,12,A33.12
M13.7,CENTB2,2088825,M13.7_CENTB2,TBD,A33,12,A33.12
M13.7,CHMP2B,1741176,M13.7_CHMP2B,TBD,A33,12,A33.12
M13.7,CHUK,1677041,M13.7_CHUK,TBD,A33,12,A33.12
M13.7,CRK,1803302,M13.7_CRK,TBD,A33,12,A33.12
M13.7,DICER1,1772692,M13.7_DICER1,TBD,A33,12,A33.12
M13.7,DIP2B,1755589,M13.7_DIP2B,TBD,A33,12,A33.12
M13.7,DNAJB6,1793770,M13.7_DNAJB6,TBD,A33,12,A33.12
M13.7,DPYD,1795715,M13.7_DPYD,TBD,A33,12,A33.12
M13.7,DUSP18,1734288,M13.7_DUSP18,TBD,A33,12,A33.12
M13.7,DYRK1A,1664560,M13.7_DYRK1A,TBD,A33,12,A33.12
M13.7,ELMO1,1784320,M13.7_ELMO1,TBD,A33,12,A33.12
M13.7,FAM48A,1669555,M13.7_FAM48A,TBD,A33,12,A33.12
M13.7,FEM1C,1703330,M13.7_FEM1C,TBD,A33,12,A33.12
M13.7,HBP1,1685415,M13.7_HBP1,TBD,A33,12,A33.12
M13.7,HERC4,1678922,M13.7_HERC4,TBD,A33,12,A33.12
M13.7,HNRNPL,2389582,M13.7_HNRNPL,TBD,A33,12,A33.12
M13.7,IFNAR2,1765146,M13.7_IFNAR2,TBD,A33,12,A33.12
M13.7,ITFG1,1693310,M13.7_ITFG1,TBD,A33,12,A33.12
M13.7,IVNS1ABP,1717877,M13.7_IVNS1ABP,TBD,A33,12,A33.12
M13.7,JARID1B,1755727,M13.7_JARID1B,TBD,A33,12,A33.12
M13.7,JMJD1B,1706539,M13.7_JMJD1B,TBD,A33,12,A33.12
M13.7,KIDINS220,1679232,M13.7_KIDINS220,TBD,A33,12,A33.12
M13.7,KLHL5,1706687,M13.7_KLHL5,TBD,A33,12,A33.12
M13.7,KLHL8,2189222,M13.7_KLHL8,TBD,A33,12,A33.12
M13.7,LACTB,1703335,M13.7_LACTB,TBD,A33,12,A33.12
M13.7,LASS2,2400500,M13.7_LASS2,TBD,A33,12,A33.12
M13.7,LGALS8,2356654,M13.7_LGALS8,TBD,A33,12,A33.12
M13.7,LOC644935,1795856,M13.7_LOC644935,TBD,A33,12,A33.12
M13.7,LYST,1675956,M13.7_LYST,TBD,A33,12,A33.12
M13.7,MANBA,1800733,M13.7_MANBA,TBD,A33,12,A33.12
M13.7,MAP3K8,1741159,M13.7_MAP3K8,TBD,A33,12,A33.12
M13.7,MAP4K4,2375002,M13.7_MAP4K4,TBD,A33,12,A33.12
M13.7,ME2,2048636,M13.7_ME2,TBD,A33,12,A33.12
M13.7,MIER1,1682232,M13.7_MIER1,TBD,A33,12,A33.12
M13.7,MTMR6,1717180,M13.7_MTMR6,TBD,A33,12,A33.12
M13.7,NCOA7,1687768,M13.7_NCOA7,TBD,A33,12,A33.12
M13.7,NIPBL,2264625,M13.7_NIPBL,TBD,A33,12,A33.12
M13.7,NPEPPS,2116127,M13.7_NPEPPS,TBD,A33,12,A33.12
M13.7,NUAK2,2094952,M13.7_NUAK2,TBD,A33,12,A33.12
M13.7,NUP153,1705907,M13.7_NUP153,TBD,A33,12,A33.12
M13.7,OSBPL9,2313851,M13.7_OSBPL9,TBD,A33,12,A33.12
M13.7,PAM,2313901,M13.7_PAM,TBD,A33,12,A33.12
M13.7,PANK2,2373177,M13.7_PANK2,TBD,A33,12,A33.12
M13.7,PAPSS1,1781819,M13.7_PAPSS1,TBD,A33,12,A33.12
M13.7,PELI2,1780132,M13.7_PELI2,TBD,A33,12,A33.12
M13.7,PHF20L1,1732985,M13.7_PHF20L1,TBD,A33,12,A33.12
M13.7,PTPN12,1695509,M13.7_PTPN12,TBD,A33,12,A33.12
M13.7,PTTG1IP,1802251,M13.7_PTTG1IP,TBD,A33,12,A33.12
M13.7,RFFL,1753819,M13.7_RFFL,TBD,A33,12,A33.12
M13.7,RMI1,2151488,M13.7_RMI1,TBD,A33,12,A33.12
M13.7,RNF135,1700660,M13.7_RNF135,TBD,A33,12,A33.12
M13.7,RNF145,1710906,M13.7_RNF145,TBD,A33,12,A33.12
M13.7,SCYL2,1711919,M13.7_SCYL2,TBD,A33,12,A33.12
M13.7,SDF2,1713978,M13.7_SDF2,TBD,A33,12,A33.12
M13.7,SENP6,2054233,M13.7_SENP6,TBD,A33,12,A33.12
M13.7,SERINC1,1741613,M13.7_SERINC1,TBD,A33,12,A33.12
M13.7,SLK,1700834,M13.7_SLK,TBD,A33,12,A33.12
M13.7,SMCHD1,1808148,M13.7_SMCHD1,TBD,A33,12,A33.12
M13.7,SP3,1756942,M13.7_SP3,TBD,A33,12,A33.12
M13.7,SPAG9,2263718,M13.7_SPAG9,TBD,A33,12,A33.12
M13.7,SPAST,1796738,M13.7_SPAST,TBD,A33,12,A33.12
M13.7,ST8SIA4,1756937,M13.7_ST8SIA4,TBD,A33,12,A33.12
M13.7,STAU1,1656136,M13.7_STAU1,TBD,A33,12,A33.12
M13.7,STX7,1792518,M13.7_STX7,TBD,A33,12,A33.12
M13.7,STXBP3,1764168,M13.7_STXBP3,TBD,A33,12,A33.12
M13.7,TBC1D15,1803941,M13.7_TBC1D15,TBD,A33,12,A33.12
M13.7,TBK1,1739967,M13.7_TBK1,TBD,A33,12,A33.12
M13.7,TMEM55A,1752117,M13.7_TMEM55A,TBD,A33,12,A33.12
M13.7,TXNRD1,1717056,M13.7_TXNRD1,TBD,A33,12,A33.12
M13.7,UGP2,2389155,M13.7_UGP2,TBD,A33,12,A33.12
M13.7,USP15,1665557,M13.7_USP15,TBD,A33,12,A33.12
M13.7,USP38,1704876,M13.7_USP38,TBD,A33,12,A33.12
M13.7,VCPIP1,1682180,M13.7_VCPIP1,TBD,A33,12,A33.12
M13.7,WIPF1,2351298,M13.7_WIPF1,TBD,A33,12,A33.12
M13.7,XRN2,1727617,M13.7_XRN2,TBD,A33,12,A33.12
M13.7,ZDHHC17,1697153,M13.7_ZDHHC17,TBD,A33,12,A33.12
M13.7,ZNF143,1674399,M13.7_ZNF143,TBD,A33,12,A33.12
M13.7,ZSWIM6,1777061,M13.7_ZSWIM6,TBD,A33,12,A33.12
M13.8,AMY2A,1671854,M13.8_AMY2A,TBD,A3,7,A3.7
M13.8,ANKRA2,1661342,M13.8_ANKRA2,TBD,A3,7,A3.7
M13.8,ARGLU1,1801303,M13.8_ARGLU1,TBD,A3,7,A3.7
M13.8,C6ORF111,1687351,M13.8_C6ORF111,TBD,A3,7,A3.7
M13.8,CAPRIN2,1788468,M13.8_CAPRIN2,TBD,A3,7,A3.7
M13.8,CCDC14,2161357,M13.8_CCDC14,TBD,A3,7,A3.7
M13.8,CCDC84,1681118,M13.8_CCDC84,TBD,A3,7,A3.7
M13.8,CROP,1677239,M13.8_CROP,TBD,A3,7,A3.7
M13.8,CRYZL1,1709227,M13.8_CRYZL1,TBD,A3,7,A3.7
M13.8,CXORF45,1728180,M13.8_CXORF45,TBD,A3,7,A3.7
M13.8,D2HGDH,1719290,M13.8_D2HGDH,TBD,A3,7,A3.7
M13.8,DIDO1,1724341,M13.8_DIDO1,TBD,A3,7,A3.7
M13.8,ENOSF1,2206272,M13.8_ENOSF1,TBD,A3,7,A3.7
M13.8,FYN,1763605,M13.8_FYN,TBD,A3,7,A3.7
M13.8,GALK2,1803676,M13.8_GALK2,TBD,A3,7,A3.7
M13.8,GOLGA8B,2249920,M13.8_GOLGA8B,TBD,A3,7,A3.7
M13.8,GSDML,2103547,M13.8_GSDML,TBD,A3,7,A3.7
M13.8,GUSBL1,2347193,M13.8_GUSBL1,TBD,A3,7,A3.7
M13.8,HNRPDL,1666206,M13.8_HNRPDL,TBD,A3,7,A3.7
M13.8,HS.143408,1720857,M13.8_HS.143408,TBD,A3,7,A3.7
M13.8,HS.409512,1653432,M13.8_HS.409512,TBD,A3,7,A3.7
M13.8,IL11RA,1852793,M13.8_IL11RA,TBD,A3,7,A3.7
M13.8,LOC132241,1882495,M13.8_LOC132241,TBD,A3,7,A3.7
M13.8,LOC153561,1664912,M13.8_LOC153561,TBD,A3,7,A3.7
M13.8,LOC338799,1701247,M13.8_LOC338799,TBD,A3,7,A3.7
M13.8,LOC728565,1666746,M13.8_LOC728565,TBD,A3,7,A3.7
M13.8,LOC728888,2098947,M13.8_LOC728888,TBD,A3,7,A3.7
M13.8,LOC729559,1682288,M13.8_LOC729559,TBD,A3,7,A3.7
M13.8,MZF1,1768311,M13.8_MZF1,TBD,A3,7,A3.7
M13.8,NKTR,1749838,M13.8_NKTR,TBD,A3,7,A3.7
M13.8,NSUN5,1721621,M13.8_NSUN5,TBD,A3,7,A3.7
M13.8,NSUN5C,2330994,M13.8_NSUN5C,TBD,A3,7,A3.7
M13.8,OGT,1688070,M13.8_OGT,TBD,A3,7,A3.7
M13.8,PDE7A,1697639,M13.8_PDE7A,TBD,A3,7,A3.7
M13.8,PLA2G4B,2364828,M13.8_PLA2G4B,TBD,A3,7,A3.7
M13.8,PLCH2,2262444,M13.8_PLCH2,TBD,A3,7,A3.7
M13.8,PRPF4B,1697629,M13.8_PRPF4B,TBD,A3,7,A3.7
M13.8,RBM6,2061565,M13.8_RBM6,TBD,A3,7,A3.7
M13.8,1-Sep,1736021,M13.8_SEPT1,TBD,A3,7,A3.7
M13.8,6-Sep,1738239,M13.8_SEPT6,TBD,A3,7,A3.7
M13.8,SFRS14,1711270,M13.8_SFRS14,TBD,A3,7,A3.7
M13.8,SFRS5,1761996,M13.8_SFRS5,TBD,A3,7,A3.7
M13.8,SMA4,1655195,M13.8_SMA4,TBD,A3,7,A3.7
M13.8,SNORA25,1682038,M13.8_SNORA25,TBD,A3,7,A3.7
M13.8,SNORA70,1730773,M13.8_SNORA70,TBD,A3,7,A3.7
M13.8,STAG3L2,1791375,M13.8_STAG3L2,TBD,A3,7,A3.7
M13.8,TAF1C,1671839,M13.8_TAF1C,TBD,A3,7,A3.7
M13.8,TAGLN,1778668,M13.8_TAGLN,TBD,A3,7,A3.7
M13.8,TARDBP,1677532,M13.8_TARDBP,TBD,A3,7,A3.7
M13.8,TPM2,1789196,M13.8_TPM2,TBD,A3,7,A3.7
M13.8,TTC13,1745573,M13.8_TTC13,TBD,A3,7,A3.7
M13.8,TTC14,1696757,M13.8_TTC14,TBD,A3,7,A3.7
M13.8,VAMP1,1737611,M13.8_VAMP1,TBD,A3,7,A3.7
M13.8,WDR33,1745852,M13.8_WDR33,TBD,A3,7,A3.7
M13.8,ZNF83,2190414,M13.8_ZNF83,TBD,A3,7,A3.7
M13.9,ADAT1,1657139,M13.9_ADAT1,Gene transcription,A3,5,A3.5
M13.9,ADNP2,2080751,M13.9_ADNP2,Gene transcription,A3,5,A3.5
M13.9,AKAP8,1741572,M13.9_AKAP8,Gene transcription,A3,5,A3.5
M13.9,ALG6,1771411,M13.9_ALG6,Gene transcription,A3,5,A3.5
M13.9,ALS2,1750256,M13.9_ALS2,Gene transcription,A3,5,A3.5
M13.9,ANKHD1,1765091,M13.9_ANKHD1,Gene transcription,A3,5,A3.5
M13.9,ANKRD10,1711828,M13.9_ANKRD10,Gene transcription,A3,5,A3.5
M13.9,AP4E1,1754531,M13.9_AP4E1,Gene transcription,A3,5,A3.5
M13.9,APTX,2317348,M13.9_APTX,Gene transcription,A3,5,A3.5
M13.9,ARL5A,1688526,M13.9_ARL5A,Gene transcription,A3,5,A3.5
M13.9,ATG16L1,2365881,M13.9_ATG16L1,Gene transcription,A3,5,A3.5
M13.9,ATP11C,2389810,M13.9_ATP11C,Gene transcription,A3,5,A3.5
M13.9,ATP2A2,1687375,M13.9_ATP2A2,Gene transcription,A3,5,A3.5
M13.9,BFAR,1814808,M13.9_BFAR,Gene transcription,A3,5,A3.5
M13.9,BRPF1,2365549,M13.9_BRPF1,Gene transcription,A3,5,A3.5
M13.9,C10ORF137,1791656,M13.9_C10ORF137,Gene transcription,A3,5,A3.5
M13.9,C10ORF6,1710207,M13.9_C10ORF6,Gene transcription,A3,5,A3.5
M13.9,C13ORF23,1795128,M13.9_C13ORF23,Gene transcription,A3,5,A3.5
M13.9,C16ORF56,1777129,M13.9_C16ORF56,Gene transcription,A3,5,A3.5
M13.9,C5ORF37,2225577,M13.9_C5ORF37,Gene transcription,A3,5,A3.5
M13.9,CASP2,1736568,M13.9_CASP2,Gene transcription,A3,5,A3.5
M13.9,CBR4,1813400,M13.9_CBR4,Gene transcription,A3,5,A3.5
M13.9,CCDC77,2101375,M13.9_CCDC77,Gene transcription,A3,5,A3.5
M13.9,CDC2L5,2356068,M13.9_CDC2L5,Gene transcription,A3,5,A3.5
M13.9,CEBPG,1716766,M13.9_CEBPG,Gene transcription,A3,5,A3.5
M13.9,CEP192,1703754,M13.9_CEP192,Gene transcription,A3,5,A3.5
M13.9,CGGBP1,1752631,M13.9_CGGBP1,Gene transcription,A3,5,A3.5
M13.9,CHCHD7,1744138,M13.9_CHCHD7,Gene transcription,A3,5,A3.5
M13.9,CNOT6,2136177,M13.9_CNOT6,Gene transcription,A3,5,A3.5
M13.9,CSTF3,1808779,M13.9_CSTF3,Gene transcription,A3,5,A3.5
M13.9,CTCF,1786015,M13.9_CTCF,Gene transcription,A3,5,A3.5
M13.9,DDX46,1727001,M13.9_DDX46,Gene transcription,A3,5,A3.5
M13.9,DHFRL1,1762426,M13.9_DHFRL1,Gene transcription,A3,5,A3.5
M13.9,DHPS,1687279,M13.9_DHPS,Gene transcription,A3,5,A3.5
M13.9,DHX15,2168449,M13.9_DHX15,Gene transcription,A3,5,A3.5
M13.9,DHX33,1744308,M13.9_DHX33,Gene transcription,A3,5,A3.5
M13.9,EHD4,1720083,M13.9_EHD4,Gene transcription,A3,5,A3.5
M13.9,EIF2S3,1665717,M13.9_EIF2S3,Gene transcription,A3,5,A3.5
M13.9,EPM2AIP1,1682658,M13.9_EPM2AIP1,Gene transcription,A3,5,A3.5
M13.9,ERP27,1655261,M13.9_ERP27,Gene transcription,A3,5,A3.5
M13.9,FAM152A,1660840,M13.9_FAM152A,Gene transcription,A3,5,A3.5
M13.9,FLJ20323,1680644,M13.9_FLJ20323,Gene transcription,A3,5,A3.5
M13.9,FNTA,1721704,M13.9_FNTA,Gene transcription,A3,5,A3.5
M13.9,GALNT11,1651819,M13.9_GALNT11,Gene transcription,A3,5,A3.5
M13.9,GNPTAB,1736757,M13.9_GNPTAB,Gene transcription,A3,5,A3.5
M13.9,HNRNPD,2321451,M13.9_HNRNPD,Gene transcription,A3,5,A3.5
M13.9,HS.126768,1893511,M13.9_HS.126768,Gene transcription,A3,5,A3.5
M13.9,HS.19339,1856480,M13.9_HS.19339,Gene transcription,A3,5,A3.5
M13.9,HS.294103,1866887,M13.9_HS.294103,Gene transcription,A3,5,A3.5
M13.9,HS.538259,1838313,M13.9_HS.538259,Gene transcription,A3,5,A3.5
M13.9,HSPA14,1797318,M13.9_HSPA14,Gene transcription,A3,5,A3.5
M13.9,KIAA0141,1762990,M13.9_KIAA0141,Gene transcription,A3,5,A3.5
M13.9,KIAA1191,2376133,M13.9_KIAA1191,Gene transcription,A3,5,A3.5
M13.9,KIAA1737,1788347,M13.9_KIAA1737,Gene transcription,A3,5,A3.5
M13.9,KIF13B,1686562,M13.9_KIF13B,Gene transcription,A3,5,A3.5
M13.9,KRIT1,1811261,M13.9_KRIT1,Gene transcription,A3,5,A3.5
M13.9,LOC400657,1725528,M13.9_LOC400657,Gene transcription,A3,5,A3.5
M13.9,LOC650215,1743711,M13.9_LOC650215,Gene transcription,A3,5,A3.5
M13.9,MFSD8,2123119,M13.9_MFSD8,Gene transcription,A3,5,A3.5
M13.9,MTMR9,1652521,M13.9_MTMR9,Gene transcription,A3,5,A3.5
M13.9,MTRR,1718932,M13.9_MTRR,Gene transcription,A3,5,A3.5
M13.9,MUS81,1780937,M13.9_MUS81,Gene transcription,A3,5,A3.5
M13.9,NCOA5,1770035,M13.9_NCOA5,Gene transcription,A3,5,A3.5
M13.9,NHLRC3,2393046,M13.9_NHLRC3,Gene transcription,A3,5,A3.5
M13.9,NONO,2052790,M13.9_NONO,Gene transcription,A3,5,A3.5
M13.9,NPC1,1713505,M13.9_NPC1,Gene transcription,A3,5,A3.5
M13.9,NRIP1,1718629,M13.9_NRIP1,Gene transcription,A3,5,A3.5
M13.9,PDCD6IP,1693259,M13.9_PDCD6IP,Gene transcription,A3,5,A3.5
M13.9,PI4KAP2,1655126,M13.9_PI4KAP2,Gene transcription,A3,5,A3.5
M13.9,PIGA,1705985,M13.9_PIGA,Gene transcription,A3,5,A3.5
M13.9,PIP3-E,1796497,M13.9_PIP3-E,Gene transcription,A3,5,A3.5
M13.9,PPWD1,2223380,M13.9_PPWD1,Gene transcription,A3,5,A3.5
M13.9,PTBP2,1707240,M13.9_PTBP2,Gene transcription,A3,5,A3.5
M13.9,RARS2,1758214,M13.9_RARS2,Gene transcription,A3,5,A3.5
M13.9,RBM4B,1743104,M13.9_RBM4B,Gene transcription,A3,5,A3.5
M13.9,RHOT2,1669310,M13.9_RHOT2,Gene transcription,A3,5,A3.5
M13.9,RWDD4A,1708660,M13.9_RWDD4A,Gene transcription,A3,5,A3.5
M13.9,S100PBP,1663577,M13.9_S100PBP,Gene transcription,A3,5,A3.5
M13.9,SEC22C,2290618,M13.9_SEC22C,Gene transcription,A3,5,A3.5
